OTU_id	F14RootFungi.2p.A2	F14RootFungi.2p.B1	F14RootFungi.2p.B5	F14RootFungi.2p.B6	F14RootFungi.2p.D4	F14RootFungi.H12	F14RootFungi.G8	F14RootFungi.G4	F14RootFungi.G2	F14RootFungi.G5	F15RootFungi.2p.A2	F15RootFungi.2p.B6	F15RootFungi.2p.C5	F15RootFungi.2p.C3	F15RootFungi.2p.D2	F15RootFungi.2p.C4	F15Group.Root131	F15Group.Root99	F15RootFungi.G3	F15RootFungi.G8
Otu00179	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	20	0	0
Otu00180	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	7	0	0
Otu00183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0
Otu00187	0	0	0	0	0	0	0	0	0	0	15	5	17	0	0	0	0	0	0	0
Otu00189	0	0	0	0	0	0	0	6	0	0	26	0	0	0	0	0	0	0	1	0
Otu00190	0	0	0	0	0	0	0	0	0	0	9	1	3	12	8	4	0	0	0	0
Otu00192	13	0	1	4	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00193	0	0	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0
Otu00194	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1
Otu00195	0	0	0	0	0	0	0	4	0	21	0	0	0	0	0	0	0	0	0	0
Otu00198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	12
Otu00199	0	0	0	0	0	0	0	23	6	3	0	0	0	0	0	0	2	0	16	0
Otu00200	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0
Otu00203	0	5	0	63	24	2	0	0	0	1	0	0	23	0	3	23	0	0	0	0
Otu00204	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0
Otu00206	0	0	0	0	0	0	8	0	16	0	0	0	0	0	0	0	5	0	6	0
Otu00208	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0
Otu00211	3	10	7	4	1	1	1	0	5	11	2	4	2	62	22	10	1	0	2	3
Otu00212	5	1	0	1	2	0	0	0	1	0	0	0	2	11	4	16	3	2	1	2
Otu00214	5	0	0	109	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Otu00216	0	0	0	0	0	0	0	128	0	37	0	0	0	0	0	0	0	0	0	0
Otu00217	0	0	0	0	0	0	0	0	0	0	40	0	35	0	0	0	0	0	0	0
Otu00218	0	0	0	0	0	0	0	0	0	0	0	0	32	49	0	0	0	0	0	0
Otu00220	2	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	703	0	0	0
Otu00222	0	0	0	0	0	5	0	38	0	29	73	1	0	69	0	37	0	0	0	0
Otu00224	0	0	0	1	1	0	0	0	0	0	0	1	0	5	0	6	0	0	0	0
Otu00225	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00226	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	3	0	0	0	0
Otu00227	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Otu00231	0	0	0	0	0	0	0	0	0	0	0	0	226	0	0	0	0	0	0	0
Otu00232	0	0	0	0	0	0	0	16	11	23	0	0	0	0	0	0	0	0	0	0
Otu00233	0	0	0	0	0	0	0	0	696	0	0	0	0	0	0	0	0	0	0	0
Otu00234	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Otu00236	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
Otu00237	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	4	5	0
Otu00238	2	1	0	50	11	10	0	0	0	0	3	0	13	0	0	14	0	0	0	0
Otu00239	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0
Otu00240	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	2	0	0	0	0
Otu00241	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	1	0	0
Otu00242	3	0	0	6	0	5	0	9	0	26	61	1	0	17	0	61	0	0	0	0
Otu00245	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0
Otu00247	39	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00248	5	0	0	0	0	0	0	1	1	0	0	0	2	6	0	0	0	0	0	0
Otu00249	0	0	0	0	17	0	0	0	0	0	1	0	15	0	51	12	0	0	0	0
Otu00250	6	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00252	0	0	0	0	0	0	1	2	7	0	0	0	0	0	0	0	0	18	0	0
Otu00253	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
Otu00254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0
Otu00255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0
Otu00256	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0
Otu00259	0	0	0	0	0	0	0	0	0	421	0	0	0	0	0	0	0	0	0	0
Otu00260	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
Otu00261	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
Otu00264	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	0	18	0
Otu00265	0	0	0	0	0	0	0	79	1	10	0	0	0	0	0	0	0	0	0	4
Otu00266	0	0	2	0	0	0	0	3	0	0	0	7	3	59	3	36	0	0	0	0
Otu00267	0	0	0	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0	0
Otu00268	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00270	0	0	0	0	0	0	5	24	2	13	0	0	0	0	0	0	0	1	22	0
Otu00271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00272	0	0	1	0	0	2	8	3	0	0	0	0	0	0	0	0	0	0	7	0
Otu00274	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0
Otu00276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82
Otu00279	0	1	0	0	0	56	0	0	0	0	0	8	0	0	0	4	0	0	0	0
Otu00280	3	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0
Otu00281	0	0	0	0	1	0	0	0	0	0	13	0	44	0	0	0	0	0	0	0
Otu00282	70	24	5	0	5	2	0	0	0	0	0	3	0	0	0	0	0	0	4	0
Otu00283	0	0	0	0	0	0	3	2	0	5	0	0	0	0	0	2	1	0	4	2
Otu00284	2	0	0	0	0	2	0	1	0	0	2	1	0	3	0	1	0	0	3	0
Otu00285	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
Otu00286	0	0	37	28	0	4	0	0	0	0	0	0	0	30	0	0	0	0	0	0
Otu00289	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Otu00292	0	0	0	2	6	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0
