,Tunnel Number,Rootstock,Compartment,Community,Study_site,Phenology,Year,Number,Sample_name
15RootFungi.2p.B5,Tunnel - 5,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,4,15RootFungi.2p.B5
15RootFungi.2p.D3,Tunnel - 6,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,5,15RootFungi.2p.D3
15RootFungi.H8,Tunnel - 1,Selfgraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,6,15RootFungi.H8
15RootFungi.2p.A4,Tunnel - 2,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,7,15RootFungi.2p.A4
15RootFungi.2p.B3,Tunnel - 4,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,8,15RootFungi.2p.B3
15RootFungi.2p.D1,Tunnel - 5,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,9,15RootFungi.2p.D1
15RootFungi.2p.D6,Tunnel - 6,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,10,15RootFungi.2p.D6
15RootFungi.H11,Tunnel - 1,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,11,15RootFungi.H11
15RootFungi.2p.A6,Tunnel - 3,RST-04-106,Endosphere,Fungi,OHREC,Peak_Harvest,2015,12,15RootFungi.2p.A6
15RootFungi.2p.D4,Tunnel - 6,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,13,15RootFungi.2p.D4
15RootFungi.H9,Tunnel - 2,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,14,15RootFungi.H9
15RootFungi.2p.A5,Tunnel - 4,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,15,15RootFungi.2p.A5
15RootFungi.2p.B4,Tunnel - 5,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,16,15RootFungi.2p.B4
15RootFungi.H12,Tunnel - 3,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,17,15RootFungi.H12
15RootFungi.H7,Tunnel - 1,Nongraft,Endosphere,Fungi,OHREC,Peak_Harvest,2015,18,15RootFungi.H7
15RootFungi.2p.A2,Tunnel - 1,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,19,15RootFungi.2p.A2
15RootFungi.2p.B6,Tunnel - 2,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,20,15RootFungi.2p.B6
15RootFungi.2p.C5,Tunnel - 4,Maxifort,Endosphere,Fungi,OHREC,Peak_Harvest,2015,21,15RootFungi.2p.C5
