OTU_id	F14RootFungi.2p.A5	F14RootFungi.2p.B4	F14RootFungi.2p.C3	F14RootFungi.2p.C5	F14RootFungi.2p.D2	F14RootFungi.H7	F14RootFungi.G3	F14Group.Root123	F14RootFungi.G9	F14RootFungi.H2	F15RootFungi.2p.D4	F15RootFungi.H9	F15RootFungi.2p.A5	F15RootFungi.2p.B4	F15RootFungi.H12	F15RootFungi.H7	F15RootFungi.F11	F15RootFungi.G4	F15RootFungi.G9	F15RootFungi.H2
Otu00349	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
Otu00350	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00354	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	24	0	0	0	0
Otu00355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0
Otu00356	0	0	0	8	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Otu00357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	5	0	23
Otu00358	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00361	0	0	0	0	72	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0
Otu00366	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
Otu00370	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0
Otu00371	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	23
Otu00374	0	7	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00378	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1
Otu00383	0	0	2	0	3	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0
Otu00386	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0
Otu00388	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0
Otu00389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36
Otu00391	0	0	0	0	0	0	0	13	0	1	0	0	0	0	0	0	0	0	0	1
Otu00392	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
Otu00396	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	17	0	0	0
Otu00397	0	6	0	0	0	0	0	0	0	0	17	0	9	0	0	0	0	2	0	0
Otu00398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
Otu00400	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00402	0	0	12	33	14	1	0	0	0	0	0	1	6	0	0	0	0	0	0	0
Otu00408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
Otu00413	9	0	0	0	0	0	0	0	0	0	0	0	8	0	0	65	0	0	0	0
Otu00418	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0
Otu00430	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00432	2	0	2	45	28	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0
Otu00434	0	0	0	0	0	0	0	0	0	0	0	0	4	0	23	0	0	0	0	0
Otu00435	0	0	0	0	0	0	0	0	2	7	0	0	0	0	0	0	0	0	0	0
Otu00438	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00446	0	0	0	0	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
Otu00450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
Otu00452	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0
Otu00453	0	0	0	0	0	0	0	0	0	0	0	4	0	2	38	0	0	0	0	0
Otu00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0
Otu00459	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0
Otu00460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	239	0	0	0
Otu00461	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	116	0	0	0	0
Otu00462	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0
Otu00464	3	0	6	27	14	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	1	0	0	0
Otu00477	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0
Otu00479	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00481	0	0	0	0	0	0	2	0	6	0	2	7	0	0	142	0	0	0	0	0
Otu00489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
Otu00491	8	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00494	0	11	0	0	0	0	0	2	0	0	3	0	0	14	8	0	3	0	0	0
Otu00495	0	3	1	0	0	0	5	0	1	2	0	0	0	1	4	6	1	0	0	0
Otu00496	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Otu00497	0	0	0	0	0	0	0	0	0	0	34	0	2	0	0	81	0	0	0	0
Otu00498	0	0	0	0	0	0	0	10	0	120	0	0	0	0	0	0	0	0	0	0
Otu00501	0	0	0	0	0	0	5	0	0	8	0	0	0	0	0	0	0	0	0	0
Otu00502	0	0	1	10	20	5	0	1	0	0	0	0	0	4	0	0	0	0	0	0
Otu00504	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	1	0	0
