OTU_id	F14RootFungi.2p.A4	F14RootFungi.2p.A6	F14RootFungi.2p.B3	F14RootFungi.2p.D1	F14RootFungi.2p.D6	F14RootFungi.H11	F14Group.Root111	F14RootFungi.G12	F14RootFungi.G7	F14RootFungi.H5	F15RootFungi.2p.A4	F15RootFungi.2p.B3	F15RootFungi.2p.D1	F15RootFungi.2p.D6	F15RootFungi.H11	F15RootFungi.2p.A6	F15RootFungi.G12	F15RootFungi.G2	F15RootFungi.G7	F15RootFungi.H5
Otu00378	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
Otu00383	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00387	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0
Otu00388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
Otu00389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
Otu00396	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	4
Otu00397	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
Otu00400	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Otu00401	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
Otu00402	0	0	16	13	2	0	3	0	0	0	0	1	0	9	0	0	0	0	0	0
Otu00408	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0
Otu00410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
Otu00414	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
Otu00415	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
Otu00418	107	0	6	2	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
Otu00429	0	0	0	0	0	0	0	0	0	0	38	1	0	0	0	0	1	0	0	0
Otu00430	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Otu00431	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00432	0	5	8	22	2	0	1	0	0	0	0	0	2	4	1	0	0	0	0	0
Otu00436	50	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00437	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	4	0	0	0
Otu00446	0	0	0	0	0	0	0	23	3	2	0	0	0	0	0	0	34	0	0	3
Otu00447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0
Otu00448	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
Otu00450	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00451	0	0	0	0	0	0	6	1	0	1	0	0	0	1	0	0	0	0	0	0
Otu00458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	7
Otu00464	1	3	3	15	7	0	2	1	0	0	0	3	1	3	0	0	0	0	0	0
Otu00465	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0
Otu00470	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Otu00473	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0
Otu00477	0	0	0	0	0	0	0	116	6	0	0	0	0	0	0	0	0	0	0	0
Otu00478	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
